date,hostel,capacity,total_kiloliters,per_capita_kiloliters,is_weekend,temperature
2025-03-04,B,724,323.34,0.4466,False,25.5
2025-03-04,C,387,141.05,0.3645,False,25.5
2025-03-04,D,928,326.31,0.3516,False,25.5
2025-03-04,FRG,480,195.3,0.4069,False,25.5
2025-03-04,M,1148,420.41,0.3662,False,25.5
2025-03-04,N,500,212.84,0.4257,False,25.5
2025-03-04,O,928,441.12,0.4753,False,25.5
2025-03-04,PG,404,173.28,0.4289,False,25.5
2025-03-04,Q,928,428.23,0.4615,False,25.5
2025-03-05,A,928,378.46,0.4078,False,23.1
2025-03-05,B,724,282.6,0.3903,False,23.1
2025-03-05,C,387,157.97,0.4082,False,23.1
2025-03-05,D,928,363.2,0.3914,False,23.1
2025-03-05,FRG,480,174.74,0.364,False,23.1
2025-03-05,M,1148,403.08,0.3511,False,23.1
2025-03-05,N,500,209.81,0.4196,False,23.1
2025-03-05,O,928,442.04,0.4763,False,23.1
2025-03-05,PG,404,179.54,0.4444,False,23.1
2025-03-05,Q,928,371.41,0.4002,False,23.1
2025-03-06,A,928,422.28,0.455,False,28.7
2025-03-06,B,724,309.26,0.4272,False,28.7
2025-03-06,C,387,151.19,0.3907,False,28.7
2025-03-06,D,928,331.49,0.3572,False,28.7
2025-03-06,FRG,480,176.1,0.3669,False,28.7
2025-03-06,M,1148,392.4,0.3418,False,28.7
2025-03-06,N,500,193.41,0.3868,False,28.7
2025-03-06,O,928,401.79,0.433,False,28.7
2025-03-06,PG,404,171.4,0.4243,False,28.7
2025-03-06,Q,928,402.08,0.4333,False,28.7
2025-03-07,A,928,405.15,0.4366,False,21.9
2025-03-07,B,724,270.41,0.3735,False,21.9
2025-03-07,C,387,148.95,0.3849,False,21.9
2025-03-07,D,928,318.89,0.3436,False,21.9
2025-03-07,FRG,480,178.08,0.371,False,21.9
2025-03-07,M,1148,442.69,0.3856,False,21.9
2025-03-07,N,500,203.72,0.4074,False,21.9
2025-03-07,O,928,424.66,0.4576,False,21.9
2025-03-07,PG,404,154.76,0.3831,False,21.9
2025-03-07,Q,928,439.23,0.4733,False,21.9
2025-03-08,A,928,507.86,0.5473,True,32.7
2025-03-08,B,724,329.34,0.4549,True,32.7
2025-03-08,C,387,165.1,0.4266,True,32.7
2025-03-08,D,928,396.58,0.4273,True,32.7
2025-03-08,FRG,480,204.91,0.4269,True,32.7
2025-03-08,M,1148,502.73,0.4379,True,32.7
2025-03-08,N,500,261.46,0.5229,True,32.7
2025-03-08,O,928,516.0,0.556,True,32.7
2025-03-08,PG,404,211.51,0.5235,True,32.7
2025-03-08,Q,928,459.9,0.4956,True,32.7
2025-03-09,A,928,480.84,0.5181,True,33.6
2025-03-09,B,724,379.76,0.5245,True,33.6
2025-03-09,C,387,178.33,0.4608,True,33.6
2025-03-09,D,928,408.17,0.4398,True,33.6
2025-03-09,FRG,480,206.45,0.4301,True,33.6
2025-03-09,M,1148,533.56,0.4648,True,33.6
2025-03-09,N,500,253.46,0.5069,True,33.6
2025-03-09,O,928,512.12,0.5518,True,33.6
2025-03-09,PG,404,200.37,0.496,True,33.6
2025-03-09,Q,928,486.86,0.5246,True,33.6
2025-03-10,A,928,386.29,0.4163,False,30.5
2025-03-10,B,724,310.35,0.4287,False,30.5
2025-03-10,C,387,134.79,0.3483,False,30.5
2025-03-10,D,928,307.28,0.3311,False,30.5
2025-03-10,FRG,480,160.5,0.3344,False,30.5
2025-03-10,M,1148,389.54,0.3393,False,30.5
2025-03-10,N,500,201.37,0.4027,False,30.5
2025-03-10,O,928,374.52,0.4036,False,30.5
2025-03-10,PG,404,150.46,0.3724,False,30.5
2025-03-10,Q,928,368.21,0.3968,False,30.5
2025-03-11,A,928,388.88,0.4191,False,25.2
2025-03-11,B,724,282.73,0.3905,False,25.2
2025-03-11,C,387,136.06,0.3516,False,25.2
2025-03-11,D,928,313.97,0.3383,False,25.2
2025-03-11,FRG,480,177.02,0.3688,False,25.2
2025-03-11,M,1148,430.67,0.3751,False,25.2
2025-03-11,N,500,196.14,0.3923,False,25.2
2025-03-11,O,928,440.88,0.4751,False,25.2
2025-03-11,PG,404,160.74,0.3979,False,25.2
2025-03-11,Q,928,437.47,0.4714,False,25.2
2025-03-12,A,928,369.95,0.3987,False,21.8
2025-03-12,B,724,286.29,0.3954,False,21.8
2025-03-12,C,387,149.31,0.3858,False,21.8
2025-03-12,D,928,299.31,0.3225,False,21.8
2025-03-12,FRG,480,164.22,0.3421,False,21.8
2025-03-12,M,1148,447.49,0.3898,False,21.8
2025-03-12,N,500,210.66,0.4213,False,21.8
2025-03-12,O,928,397.96,0.4288,False,21.8
2025-03-12,PG,404,164.99,0.4084,False,21.8
2025-03-12,Q,928,403.2,0.4345,False,21.8
2025-03-13,A,928,383.94,0.4137,False,34.4
2025-03-13,B,724,282.89,0.3907,False,34.4
2025-03-13,C,387,149.58,0.3865,False,34.4
2025-03-13,D,928,313.53,0.3379,False,34.4
2025-03-13,FRG,480,177.03,0.3688,False,34.4
2025-03-13,M,1148,417.31,0.3635,False,34.4
2025-03-13,N,500,195.35,0.3907,False,34.4
2025-03-13,O,928,418.39,0.4508,False,34.4
2025-03-13,PG,404,148.26,0.367,False,34.4
2025-03-13,Q,928,440.58,0.4748,False,34.4
2025-03-14,A,928,358.99,0.3868,False,30.7
2025-03-14,B,724,310.84,0.4293,False,30.7
2025-03-14,C,387,130.88,0.3382,False,30.7
2025-03-14,D,928,334.92,0.3609,False,30.7
2025-03-14,FRG,480,186.55,0.3887,False,30.7
2025-03-14,M,1148,446.59,0.389,False,30.7
2025-03-14,N,500,205.02,0.41,False,30.7
2025-03-14,O,928,403.88,0.4352,False,30.7
2025-03-14,PG,404,167.72,0.4151,False,30.7
2025-03-14,Q,928,441.31,0.4755,False,30.7
2025-03-15,A,928,492.54,0.5308,True,20.4
2025-03-15,B,724,388.38,0.5364,True,20.4
2025-03-15,C,387,172.97,0.447,True,20.4
2025-03-15,D,928,360.45,0.3884,True,20.4
2025-03-15,FRG,480,218.02,0.4542,True,20.4
2025-03-15,M,1148,537.0,0.4678,True,20.4
2025-03-15,N,500,257.45,0.5149,True,20.4
2025-03-15,O,928,472.13,0.5088,True,20.4
2025-03-15,PG,404,191.65,0.4744,True,20.4
2025-03-15,Q,928,533.42,0.5748,True,20.4
2025-03-16,A,928,499.81,0.5386,True,34.8
2025-03-16,B,724,351.59,0.4856,True,34.8
2025-03-16,C,387,159.37,0.4118,True,34.8
2025-03-16,D,928,366.64,0.3951,True,34.8
2025-03-16,FRG,480,226.47,0.4718,True,34.8
2025-03-16,M,1148,551.18,0.4801,True,34.8
2025-03-16,N,500,242.33,0.4847,True,34.8
2025-03-16,O,928,511.94,0.5517,True,34.8
2025-03-16,PG,404,178.77,0.4425,True,34.8
2025-03-16,Q,928,448.33,0.4831,True,34.8
2025-03-17,A,928,366.8,0.3953,False,28.1
2025-03-17,B,724,326.82,0.4514,False,28.1
2025-03-17,C,387,156.89,0.4054,False,28.1
2025-03-17,D,928,345.98,0.3728,False,28.1
2025-03-17,FRG,480,165.28,0.3443,False,28.1
2025-03-17,M,1148,389.4,0.3392,False,28.1
2025-03-17,N,500,190.15,0.3803,False,28.1
2025-03-17,O,928,376.99,0.4062,False,28.1
2025-03-17,PG,404,164.6,0.4074,False,28.1
2025-03-17,Q,928,398.3,0.4292,False,28.1
2025-03-18,A,928,419.66,0.4522,False,23.7
2025-03-18,B,724,297.59,0.411,False,23.7
2025-03-18,C,387,151.34,0.3911,False,23.7
2025-03-18,D,928,333.91,0.3598,False,23.7
2025-03-18,FRG,480,165.79,0.3454,False,23.7
2025-03-18,M,1148,417.52,0.3637,False,23.7
2025-03-18,N,500,192.52,0.385,False,23.7
2025-03-18,O,928,407.35,0.439,False,23.7
2025-03-18,PG,404,170.05,0.4209,False,23.7
2025-03-18,Q,928,375.28,0.4044,False,23.7
2025-03-19,A,928,427.98,0.4612,False,27.1
2025-03-19,B,724,269.72,0.3725,False,27.1
2025-03-19,C,387,154.44,0.3991,False,27.1
2025-03-19,D,928,332.76,0.3586,False,27.1
2025-03-19,FRG,480,175.88,0.3664,False,27.1
2025-03-19,M,1148,388.23,0.3382,False,27.1
2025-03-19,N,500,204.21,0.4084,False,27.1
2025-03-19,O,928,433.93,0.4676,False,27.1
2025-03-19,PG,404,168.39,0.4168,False,27.1
2025-03-19,Q,928,409.59,0.4414,False,27.1
2025-03-20,A,928,375.64,0.4048,False,22.1
2025-03-20,B,724,286.53,0.3958,False,22.1
2025-03-20,C,387,144.9,0.3744,False,22.1
2025-03-20,D,928,356.92,0.3846,False,22.1
2025-03-20,FRG,480,191.91,0.3998,False,22.1
2025-03-20,M,1148,435.75,0.3796,False,22.1
2025-03-20,N,500,222.42,0.4448,False,22.1
2025-03-20,O,928,436.44,0.4703,False,22.1
2025-03-20,PG,404,171.31,0.424,False,22.1
2025-03-20,Q,928,432.6,0.4662,False,22.1
2025-03-21,A,928,424.35,0.4573,False,31.6
2025-03-21,B,724,287.07,0.3965,False,31.6
2025-03-21,C,387,138.27,0.3573,False,31.6
2025-03-21,D,928,301.45,0.3248,False,31.6
2025-03-21,FRG,480,190.07,0.396,False,31.6
2025-03-21,M,1148,437.37,0.381,False,31.6
2025-03-21,N,500,220.47,0.4409,False,31.6
2025-03-21,O,928,421.59,0.4543,False,31.6
2025-03-21,PG,404,177.33,0.4389,False,31.6
2025-03-21,Q,928,372.63,0.4015,False,31.6
2025-03-22,A,928,437.35,0.4713,True,34.2
2025-03-22,B,724,348.49,0.4813,True,34.2
2025-03-22,C,387,183.59,0.4744,True,34.2
2025-03-22,D,928,369.67,0.3984,True,34.2
2025-03-22,FRG,480,220.49,0.4594,True,34.2
2025-03-22,M,1148,496.8,0.4328,True,34.2
2025-03-22,N,500,230.43,0.4609,True,34.2
2025-03-22,O,928,527.24,0.5682,True,34.2
2025-03-22,PG,404,203.19,0.5029,True,34.2
2025-03-22,Q,928,495.36,0.5338,True,34.2
2025-03-23,A,928,515.96,0.556,True,21.8
2025-03-23,B,724,355.16,0.4906,True,21.8
2025-03-23,C,387,169.8,0.4387,True,21.8
2025-03-23,D,928,360.28,0.3882,True,21.8
2025-03-23,FRG,480,201.6,0.42,True,21.8
2025-03-23,M,1148,503.79,0.4388,True,21.8
2025-03-23,N,500,251.29,0.5026,True,21.8
2025-03-23,O,928,466.79,0.503,True,21.8
2025-03-23,PG,404,190.49,0.4715,True,21.8
2025-03-23,Q,928,479.48,0.5167,True,21.8
2025-03-24,A,928,392.23,0.4227,False,33.0
2025-03-24,B,724,309.7,0.4278,False,33.0
2025-03-24,C,387,145.01,0.3747,False,33.0
2025-03-24,D,928,322.87,0.3479,False,33.0
2025-03-24,FRG,480,169.13,0.3524,False,33.0
2025-03-24,M,1148,408.45,0.3558,False,33.0
2025-03-24,N,500,193.56,0.3871,False,33.0
2025-03-24,O,928,374.99,0.4041,False,33.0
2025-03-24,PG,404,149.82,0.3708,False,33.0
2025-03-24,Q,928,404.21,0.4356,False,33.0
2025-03-25,A,928,360.08,0.388,False,29.7
2025-03-25,B,724,283.34,0.3913,False,29.7
2025-03-25,C,387,139.55,0.3606,False,29.7
2025-03-25,D,928,340.86,0.3673,False,29.7
2025-03-25,FRG,480,161.15,0.3357,False,29.7
2025-03-25,M,1148,396.56,0.3454,False,29.7
2025-03-25,N,500,195.58,0.3912,False,29.7
2025-03-25,O,928,409.6,0.4414,False,29.7
2025-03-25,PG,404,176.23,0.4362,False,29.7
2025-03-25,Q,928,392.48,0.4229,False,29.7
2025-03-26,A,928,421.55,0.4543,False,25.9
2025-03-26,B,724,271.61,0.3751,False,25.9
2025-03-26,C,387,146.27,0.378,False,25.9
2025-03-26,D,928,328.94,0.3545,False,25.9
2025-03-26,FRG,480,178.13,0.3711,False,25.9
2025-03-26,M,1148,410.14,0.3573,False,25.9
2025-03-26,N,500,190.33,0.3807,False,25.9
2025-03-26,O,928,371.47,0.4003,False,25.9
2025-03-26,PG,404,156.98,0.3886,False,25.9
2025-03-26,Q,928,428.92,0.4622,False,25.9
