date,hostel,meal,pwaste,twaste,foodsample,kwaste,hostel type
03-03-2025,M,breakfast,11.3,7.11,0.6,9.4,boys
03-03-2025,N,breakfast,6.3,2.7,0.6,,girls
03-03-2025,O,breakfast,11.1,6.5,0.6,2.7,boys
03-03-2025,PG,breakfast,2,nan,nan,2.9,girls
03-03-2025,Q,breakfast,6.3,1.7,0.6,0.5,girls
03-03-2025,A,lunch,13.2,5.31,0.5,2.6,girls
03-03-2025,B,lunch,11.5,6.3,0.6,4.5,boys
03-03-2025,C,lunch,7.2,3.3,0.6,4,boys
03-03-2025,D,lunch,18.4,5.4,0.6,15.9,boys
03-03-2025,FRG,lunch,6.8,nan,nan,1.3,boys
03-03-2025,M,lunch,nan,nan,nan,nan,boys
03-03-2025,N,lunch,7,3.9,0.6,7.8,girls
03-03-2025,O,lunch,19.5,7.9,0.6,4.6,boys
03-03-2025,PG,lunch,3,nan,nan,12,girls
03-03-2025,Q,lunch,nan,nan,nan,nan,girls
03-03-2025,A,dinner,10,4.4,0.5,4.3,girls
03-03-2025,B,dinner,11.6,4.3,0.6,5.1,boys
03-03-2025,C,dinner,8.2,3.8,0.5,3.9,boys
03-03-2025,D,dinner,12.9,4.5,0.6,4.3,boys
03-03-2025,FRG,dinner,3.9,nan,nan,3.4,boys
03-03-2025,M,dinner,12.4,4.3,0.6,4.3,boys
03-03-2025,N,dinner,7,3.9,0.6,7.8,girls
03-03-2025,O,dinner,19.5,7.9,0.6,4.6,boys
03-03-2025,PG,dinner,3,nan,nan,12,girls
03-03-2025,Q,dinner,nan,nan,nan,nan,girls
04-03-2025,A,breakfast,6.3,5.3,0.6,0.6,girls
04-03-2025,B,breakfast,42.7,6.1,0.6,3.2,boys
04-03-2025,C,breakfast,3.4,1.5,0.8,0.8,boys
04-03-2025,D,breakfast,14.8,4.1,0.6,6.5,boys
04-03-2025,FRG,breakfast,4.7,nan,nan,0.9,boys
04-03-2025,M,breakfast,12.3,7.8,0.6,5.8,boys
04-03-2025,N,breakfast,nan,nan,nan,nan,girls
04-03-2025,O,breakfast,10.7,6.5,0.6,1.8,boys
04-03-2025,PG,breakfast,2,nan,nan,0.4,girls
04-03-2025,Q,breakfast,6.1,1.3,0.6,0.7,girls
04-03-2025,A,lunch,10.3,5.3,0.5,5.7,girls
04-03-2025,B,lunch,13.7,6.9,0.6,5.3,boys
04-03-2025,C,lunch,6.6,2.5,0.5,3.1,boys
04-03-2025,D,lunch,22.4,4.3,0.6,1.4,boys
04-03-2025,FRG,lunch,6.8,9.9,0.6,7.4,boys
04-03-2025,M,lunch,15.5,9.9,0.6,5.9,boys
04-03-2025,N,lunch,6.7,4.9,0.6,8,girls
04-03-2025,O,lunch,21.2,9.3,0.6,1.9,boys
04-03-2025,PG,lunch,3,nan,nan,0.5,girls
04-03-2025,Q,lunch,8.9,1.7,0.5,2.8,girls
04-03-2025,A,dinner,11.4,12.3,8.9,16.3,girls
04-03-2025,B,dinner,12.3,4.4,0.5,3.2,boys
04-03-2025,C,dinner,8.9,3.8,0.5,3.2,boys
04-03-2025,D,dinner,16.3,4.2,0.6,2.9,boys
04-03-2025,FRG,dinner,8.9,nan,nan,4.3,boys
04-03-2025,M,dinner,15.4,4.3,0.6,4.4,boys
04-03-2025,N,dinner,11.4,4.3,0.6,4.4,girls
04-03-2025,O,dinner,14.3,4.1,0.5,3.3,boys
04-03-2025,PG,dinner,5.9,nan,nan,3.9,girls
04-03-2025,Q,dinner,9.3,4.4,0.6,4.3,girls
05-03-2025,A,breakfast,41.2,6.5,0.6,2.1,girls
05-03-2025,B,breakfast,12.7,3.8,0.6,2.8,boys
05-03-2025,C,breakfast,3.6,1.4,0.8,1.6,boys
05-03-2025,D,breakfast,12.1,2.2,0.6,3.4,boys
05-03-2025,FRG,breakfast,4.1,nan,nan,0.6,boys
05-03-2025,M,breakfast,9.1,6.9,0.6,2.9,boys
05-03-2025,N,breakfast,2.1,0.35,0.7,nan,girls
05-03-2025,O,breakfast,11.2,6.5,0.6,3,boys
05-03-2025,PG,breakfast,1.8,nan,nan,0.6,girls
05-03-2025,Q,breakfast,5.2,1,0.6,0.7,girls
05-03-2025,A,lunch,12.4,5.4,0.6,7.3,girls
05-03-2025,B,lunch,12.1,6.8,0.6,3.9,boys
05-03-2025,C,lunch,6.6,2.4,0.6,1.1,boys
05-03-2025,D,lunch,23.4,4.2,0.5,8.6,boys
05-03-2025,FRG,lunch,6.4,nan,nan,4.9,boys
05-03-2025,M,lunch,12.9,5.4,0.6,7.3,boys
05-03-2025,N,lunch,7.6,4.4,0.6,nan,girls
05-03-2025,O,lunch,19.5,7.8,0.6,6.1,boys
05-03-2025,PG,lunch,3,nan,nan,3,girls
05-03-2025,Q,lunch,8.4,3.4,0.5,2.6,girls
05-03-2025,A,dinner,11.6,5.7,0.5,9.5,girls
05-03-2025,B,dinner,14.1,5.8,0.5,5.9,boys
05-03-2025,C,dinner,8.1,2.8,0.5,1.7,boys
05-03-2025,D,dinner,19.1,3,0.5,7.8,boys
05-03-2025,FRG,dinner,5,nan,nan,11.5,boys
05-03-2025,M,dinner,12.8,4.6,0.6,4.4,boys
05-03-2025,N,dinner,6.8,4,0.5,6.6,girls
05-03-2025,O,dinner,15.2,3.8,0.5,6.6,boys
05-03-2025,PG,dinner,3,nan,nan,2,girls
05-03-2025,Q,dinner,8.9,4.5,0.6,14.8,girls
06-03-2025,A,breakfast,6.2,15.1,1.5,1.7,girls
06-03-2025,B,breakfast,9.5,4.2,0.6,4.3,boys
06-03-2025,C,breakfast,4.2,2.1,0.8,0.4,boys
06-03-2025,D,breakfast,12.8,4.5,0.6,3,boys
06-03-2025,FRG,breakfast,4.6,nan,nan,9,boys
06-03-2025,M,breakfast,10.8,8.5,0.6,1.6,boys
06-03-2025,N,breakfast,1,0.3,0.6,nan,girls
06-03-2025,O,breakfast,10.9,8.5,0.6,nan,boys
06-03-2025,PG,breakfast,2,nan,nan,0.7,girls
06-03-2025,Q,breakfast,10.9,8.5,0.6,1.6,girls
06-03-2025,A,lunch,10.2,5.5,0.4,3.8,girls
06-03-2025,B,lunch,11.7,4.8,0.6,7.31,boys
06-03-2025,C,lunch,6.2,2.5,0.4,0.7,boys
06-03-2025,D,lunch,16.7,5.8,0.6,2.9,boys
06-03-2025,FRG,lunch,6.4,nan,nan,6.4,boys
06-03-2025,M,lunch,15.3,9.8,0.6,11,boys
06-03-2025,N,lunch,4.7,3.8,0.6,6.6,girls
06-03-2025,O,lunch,19.7,7.8,0.6,8.9,boys
06-03-2025,PG,lunch,4.3,nan,nan,31,girls
06-03-2025,Q,lunch,9.2,2.3,0.6,0.6,girls
06-03-2025,A,dinner,12.8,5.9,0.6,8.1,girls
06-03-2025,B,dinner,13.1,2.7,0.4,6.2,boys
06-03-2025,C,dinner,8.5,3.2,0.5,2,boys
06-03-2025,D,dinner,19,2.7,0.5,4.5,boys
06-03-2025,FRG,dinner,6.5,nan,nan,15.5,boys
06-03-2025,M,dinner,13.6,5.7,0.6,6.9,boys
06-03-2025,N,dinner,6.5,3,0.6,3.6,girls
06-03-2025,O,dinner,15.4,4.3,0.6,9.2,boys
06-03-2025,PG,dinner,6.5,nan,nan,4.2,girls
06-03-2025,Q,dinner,9.5,4.5,0.6,10.1,girls
